,City,City id,Temp,Humidity,Wind Speed,Clouds,Lat,Lng
0,Hermanus,3366880,43.35,98,8.19,68,-34.42,19.24
1,Blackwater,2639577,61.14,77,6.93,0,51.33,-0.78
2,Lyman,693468,69.36,73,2.82,88,48.98,37.82
3,Ushuaia,3833367,32.0,100,11.41,90,-54.81,-68.31
4,Ahar,144616,55.09,92,2.37,92,38.48,47.07
5,Port Alfred,964432,56.76,91,15.79,0,-33.59,26.89
6,Cape Town,3369157,48.2,81,3.36,75,-33.93,18.42
7,Thompson,6165406,60.8,93,5.82,75,55.74,-97.86
8,Rikitea,4030556,75.61,98,4.16,56,-23.12,-134.97
9,Pisco,3932145,62.6,82,5.82,90,-13.71,-76.2
10,Buin,3897774,50.0,87,10.29,90,-33.73,-70.74
11,Half Moon Bay,5354943,70.63,93,9.17,90,37.46,-122.43
12,Bethel,5880568,57.2,93,8.05,90,60.79,-161.76
13,Dikson,1507390,47.31,82,19.6,32,73.51,80.55
14,Katsuura,1865309,91.4,55,6.93,20,33.93,134.5
15,Saint-Philippe,6138908,72.97,88,2.24,75,45.36,-73.48
16,Hobart,2163355,53.6,46,17.22,20,-42.88,147.33
17,Nizhniy Kuranakh,2019135,67.06,62,3.38,8,58.84,125.49
18,Puerto del Rosario,2512186,72.61,94,12.75,20,28.5,-13.86
19,Leningradskiy,2123814,35.07,100,9.42,20,69.38,178.42
20,Vaini,1273574,69.72,99,9.19,92,15.34,74.49
21,Victoria,1733782,86.27,79,4.7,75,5.28,115.24
22,Moosomin,6078359,64.41,76,4.38,0,50.14,-101.67
23,Busselton,2075265,62.16,96,15.79,8,-33.64,115.35
24,Hamilton,5969785,72.09,94,5.82,75,43.26,-79.87
25,Bancasi,1727445,87.18,81,1.7,56,8.95,125.48
26,Werda,2810970,58.28,76,2.24,0,50.44,12.3
27,Bambous Virieux,1106677,71.6,53,11.41,75,-20.34,57.76
28,Kaitangata,2208248,53.52,75,8.86,24,-46.28,169.85
29,Puerto Ayora,3652764,69.9,100,13.33,88,-0.74,-90.35
30,Caravelas,3466980,75.39,100,12.33,92,-17.73,-39.27
31,Bredasdorp,1015776,44.6,81,10.29,56,-34.53,20.04
32,Mataura,6201424,44.25,82,3.94,100,-46.19,168.86
33,Okhotsk,2122605,58.69,94,6.96,44,59.36,143.24
34,Tabas,113659,79.8,30,3.71,0,33.6,56.92
35,Ningxiang,1799352,91.4,52,8.95,40,28.28,112.55
36,Arraial do Cabo,3471451,65.76,100,8.08,92,-22.97,-42.02
37,Atuona,4020109,79.89,99,19.04,64,-9.8,-139.03
38,Los Llanos de Aridane,2514651,73.4,78,13.87,0,28.66,-17.92
39,Khatanga,2022572,51.0,97,9.64,8,71.98,102.47
40,Kavieng,2094342,80.92,100,3.38,48,-2.57,150.8
41,Adelaide,2078025,55.4,66,19.46,75,-34.93,138.6
42,Castro,3896218,41.01,100,5.61,36,-42.48,-73.76
43,Albany,5106834,74.68,65,4.7,20,42.65,-73.75
44,San Quintin,1688687,87.8,66,4.7,75,17.54,120.52
45,Upernavik,3418910,41.86,87,32.79,92,72.79,-56.15
46,Korsakov,2124286,73.4,56,15.66,20,46.63,142.78
47,Clyde River,5924351,42.8,75,9.17,1,70.47,-68.59
48,Dekar,933815,57.12,60,2.93,0,-21.53,21.93
49,Coahuayana,3981460,67.74,74,2.04,64,18.62,-100.35
50,Rawson,3839307,44.6,100,9.98,20,-43.3,-65.11
51,Ancud,3899695,43.44,93,5.95,12,-41.87,-73.83
52,Te Anau,2181625,47.49,73,11.65,48,-45.41,167.72
53,Cururupu,3401148,76.83,90,7.29,0,-1.82,-44.87
54,Bilibino,2126682,60.45,47,4.27,24,68.06,166.44
55,Atar,2381334,82.95,48,7.4,0,20.52,-13.05
56,Tiznit,2527089,68.14,96,1.81,0,29.7,-9.73
57,Guerrero Negro,4021858,75.93,70,7.52,0,27.97,-114.04
58,Husum,2897132,60.76,82,4.7,0,54.49,9.05
59,Salalah,286621,77.0,94,4.7,75,17.01,54.1
60,Hilo,5855927,77.54,69,9.17,75,19.71,-155.08
61,Namatanai,2090021,79.71,100,10.76,80,-3.66,152.44
62,Qaanaaq,3831208,39.21,85,13.22,76,77.48,-69.36
63,Kapaa,5848280,83.57,78,16.11,90,22.08,-159.32
64,Saldanha,2737599,60.81,54,6.17,8,41.42,-6.55
65,Georgetown,3378644,75.2,94,4.7,40,6.8,-58.16
66,Vilyuysk,2013392,67.83,66,3.6,0,63.75,121.63
67,Sarangani,1687186,83.76,98,14.56,68,5.4,125.46
68,Ndioum,2247684,77.0,78,4.7,0,16.51,-14.65
69,Cidreira,3466165,46.81,86,6.06,0,-30.17,-50.22
70,Khonsa,1266668,84.3,78,2.26,8,26.99,95.51
71,Punta Arenas,3874787,33.8,100,3.36,90,-53.16,-70.91
72,Saskylakh,2017155,65.26,72,8.97,0,71.97,114.09
73,Salinas,5391295,66.79,26,9.17,1,36.67,-121.66
74,Longyearbyen,2729907,46.4,61,2.48,0,78.22,15.63
75,Kaeo,2189343,59.19,83,4.94,36,-35.1,173.78
76,Fortuna,2517679,76.1,83,2.24,0,38.18,-1.13
77,Qianan,2035410,79.44,81,4.61,0,44.99,124.06
78,La Tijera,3982846,96.8,47,9.17,90,29.35,-110.8
79,Provideniya,4031574,48.2,87,4.47,90,64.42,-173.23
80,Hofn,2630299,49.83,96,31.79,80,64.25,-15.21
81,Naze,2337542,73.4,94,5.17,75,5.43,7.07
82,Praia da Vitoria,3372760,69.8,77,5.95,75,38.73,-27.07
83,Ulaangom,1515029,57.97,82,3.38,20,49.98,92.07
84,Barrow,3833859,60.27,50,18.7,88,-38.31,-60.23
85,Aykhal,2027296,62.25,53,4.83,76,65.95,111.51
86,Naryan-Mar,523392,48.48,94,4.16,44,67.67,53.09
87,Nagua,3496021,79.21,96,6.06,92,19.37,-69.85
88,Bakel,2252606,79.57,84,13.33,12,14.9,-12.46
89,Palmer,2067070,55.4,66,19.46,75,-34.85,139.16
90,Liverpool,2644210,59.99,100,3.36,0,53.41,-2.98
91,Houma,1784874,83.13,76,3.38,76,35.63,111.36
92,Biak,1637001,82.23,78,7.18,12,-0.91,122.88
93,Igunga,159386,57.93,72,3.6,0,-4.28,33.88
94,Lasa,146639,76.35,78,4.7,40,34.92,32.53
95,Bonavista,5905393,58.83,96,13.22,88,48.65,-53.11
96,Novyy Urgal,2047258,71.34,80,4.05,68,51.07,132.56
97,Esperance,3573739,78.8,88,5.82,20,10.24,-61.45
98,Siljan,3139676,53.46,93,2.24,0,59.29,9.71
99,Manyoni,157448,52.89,91,3.94,0,-5.75,34.84
100,Hasaki,2112802,74.34,94,18.34,75,35.73,140.83
101,Torbay,6167817,53.6,100,4.7,75,47.66,-52.73
102,Rome,6539761,72.48,69,4.7,0,41.89,12.48
103,Hithadhoo,1282256,79.21,100,9.64,36,-0.6,73.08
104,Itoman,1861280,89.02,66,12.75,20,26.12,127.67
105,Arbazh,581228,62.7,82,10.2,36,57.68,48.31
106,Northam,2641434,60.8,87,3.36,92,51.04,-4.21
107,Cherskiy,2126199,50.28,58,6.85,64,68.75,161.3
108,Vyshneve,689487,64.36,72,6.71,0,50.39,30.37
109,Goderich,5962442,69.45,91,12.66,0,43.74,-81.71
110,Souillac,3026644,70.99,72,5.82,0,45.6,-0.6
111,Kiama,2161515,57.2,35,29.97,20,-34.67,150.86
112,Port Hardy,6111862,59.0,82,6.93,20,50.7,-127.42
113,Vardo,4372777,76.19,100,1.59,1,39.62,-77.74
114,Banjar,1650233,78.63,58,3.38,36,-7.37,108.54
115,Itarema,3393692,76.83,83,13.89,8,-2.92,-39.92
116,Pacific Grove,5380437,66.9,26,9.17,1,36.62,-121.92
117,Yellowknife,6185377,64.4,82,3.36,90,62.45,-114.38
118,Tiksi,2015306,50.19,78,14.67,8,71.64,128.87
119,Udachnyy,2014624,63.69,55,3.38,36,66.42,112.4
120,Isoka,916668,53.25,79,7.29,0,-10.15,32.64
121,Bluff,2175403,68.73,22,12.21,80,-23.58,149.07
122,Male,695464,63.51,83,6.29,0,50.74,33.7
123,Santa Rosa,3835994,62.34,52,12.33,56,-36.62,-64.29
124,Coquimbo,3893629,53.6,87,3.36,90,-29.95,-71.34
125,Mar del Plata,3863379,42.45,98,0.25,92,-46.43,-67.52
126,Tura,1254046,80.97,93,1.7,64,25.52,90.21
127,Roald,3141667,57.96,87,6.93,68,62.58,6.12
128,Stanghelle,3131246,49.74,99,1.81,92,60.55,5.74
129,Sur,286245,87.04,79,6.4,80,22.57,59.53
130,Padang,1633419,77.55,100,3.6,48,-0.92,100.36
131,New Norfolk,2155415,53.6,46,17.22,20,-42.78,147.06
132,Luau,876177,57.52,41,3.49,0,-10.7,22.23
133,Herrin,4240540,79.2,78,8.05,1,37.8,-89.03
134,Borba,2270755,67.24,57,7.07,0,38.81,-7.46
135,Hay River,5972762,66.2,82,10.29,75,60.82,-115.79
136,Norman Wells,6089245,60.8,63,10.29,75,65.28,-126.83
137,Touros,3386213,74.89,94,12.21,88,-5.2,-35.46
138,Banposh,1277247,76.47,100,4.16,88,22.25,84.8
139,Manado,1636544,93.2,46,10.29,20,1.49,124.85
140,Kununurra,2068110,78.8,11,11.41,0,-15.77,128.74
141,Florence,4062577,73.36,94,4.72,1,34.8,-87.68
142,Kodiak,4407665,69.8,94,5.28,1,39.95,-94.76
143,Luderitz,3355672,49.38,89,7.18,0,-26.65,15.16
144,Narsaq,3421719,46.4,70,4.7,0,60.91,-46.05
145,East London,1006984,53.6,46,9.17,0,-33.02,27.91
146,Chokurdakh,2126123,43.35,91,9.19,0,70.62,147.9
147,Buala,2109528,84.12,78,4.83,8,-8.15,159.59
148,Severo-Kurilsk,2121385,57.93,87,0.92,32,50.68,156.12
149,La Roda,2515555,71.6,53,8.05,0,39.21,-2.16
150,Nikolskoye,546105,59.0,82,8.95,75,59.7,30.79
151,Comodoro Rivadavia,3860443,42.8,81,6.93,0,-45.87,-67.48
152,Laguna,4013704,87.36,68,1.92,32,27.52,-110.01
153,Ribeira Grande,3372707,70.39,100,8.08,0,38.52,-28.7
154,Canutama,3664716,76.02,90,2.04,12,-6.53,-64.38
155,Srivardhan,1255619,75.84,97,11.54,92,18.03,73.02
156,Tuktoyaktuk,6170031,44.6,81,6.93,90,69.44,-133.03
157,Vostok,2013279,75.61,61,2.82,24,46.45,135.83
158,Paamiut,3421193,44.29,88,20.27,44,61.99,-49.67
159,Rio de Janeiro,3451190,64.31,93,3.36,75,-22.91,-43.21
160,Teopantlan,3515939,63.91,84,3.04,36,18.72,-98.27
161,Launceston,2160517,51.8,53,11.41,75,-41.43,147.14
162,Payo,1638775,81.64,74,5.61,24,-3.75,103.64
163,Port Elizabeth,4501427,78.3,94,10.98,1,39.31,-74.98
164,Pevek,2122090,41.41,100,12.88,24,69.7,170.27
165,Teahupoo,4033543,80.6,69,10.29,40,-17.83,-149.27
166,Ilulissat,3423146,46.4,61,2.24,92,69.22,-51.1
167,Sabya,34886,73.77,80,4.38,0,16.19,43.1
168,Carnarvon,1014034,31.38,94,11.1,36,-30.97,22.13
169,Monrovia,2274895,75.2,94,4.94,75,6.33,-10.8
170,Kavaratti,1267390,81.96,98,24.29,76,10.57,72.64
171,Eureka,5563397,55.4,93,5.82,90,40.8,-124.16
172,Kruisfontein,986717,53.29,92,23.62,44,-34.0,24.73
173,Pochutla,3517970,81.64,100,6.73,8,15.74,-96.47
174,Yenagoa,2318123,70.71,91,4.83,36,4.92,6.26
175,Moron,3631878,80.6,83,2.71,20,10.49,-68.2
176,Khandyga,2022773,62.7,84,3.04,24,62.65,135.58
177,Waitati,2179825,49.47,81,5.95,56,-45.75,170.57
178,Volkhov,472722,58.92,75,7.63,0,59.92,32.34
179,Tawau,1734199,86.0,74,8.05,75,4.26,117.89
180,Arman,2127060,59.0,87,4.47,90,59.7,150.17
181,Cervo,3469169,55.36,97,2.59,92,-22.19,-46.24
182,Anadyr,2127202,55.4,87,8.95,75,64.73,177.51
183,Calatrava,1720482,68.0,135,16.11,90,10.6,123.48
184,Rameswaram,1258698,82.05,96,23.73,32,9.28,79.3
185,Muyezerskiy,524100,51.63,99,7.96,88,63.93,31.65
186,Butaritari,2110227,79.53,100,3.49,64,3.07,172.79
187,Iqaluit,5983720,42.8,100,5.82,90,63.75,-68.52
188,Rancho Palos Verdes,5386035,83.77,78,8.05,20,33.75,-118.37
189,San Patricio,3437029,43.8,81,2.93,0,-26.98,-56.83
190,Tvoroyri,2611060,50.0,93,8.05,76,61.56,-6.81
191,Noumea,2139521,75.2,57,12.75,20,-22.28,166.46
192,Shimoda,1852357,81.34,83,26.4,75,34.7,138.93
193,Nome,4732862,78.3,88,5.17,1,30.04,-94.42
194,Prainha,3391287,82.59,72,4.83,0,-1.8,-53.48
195,Inuvik,5983607,51.8,71,2.24,90,68.36,-133.71
